eez_id,reporting_name,eez_type,territory1,territory1_iso3,territory2,territory2_iso3,territory3,territory3_iso3,sovereign1,sovereign1_iso3,sovereign2,sovereign2_iso3,sovereign3,sovereign3_iso3,area_km2
8324,Papua New Guinean Exclusive Economic Zone,200NM,Papua New Guinea,PNG,NA,NA,NA,NA,Papua New Guinea,PNG,NA,NA,NA,NA,2399610.721
5687,Polish Exclusive Economic Zone,200NM,Poland,POL,NA,NA,NA,NA,Poland,POL,NA,NA,NA,NA,29970.73991
8328,North Korean Exclusive Economic Zone,200NM,North Korea,PRK,NA,NA,NA,NA,North Korea,PRK,NA,NA,NA,NA,114165.5145
5688,Portuguese Exclusive Economic Zone,200NM,Portugal,PRT,NA,NA,NA,NA,Portugal,PRT,NA,NA,NA,NA,315475.1337
8361,Portuguese Exclusive Economic Zone (Azores),200NM,Azores,PRT,NA,NA,NA,NA,Portugal,PRT,NA,NA,NA,NA,960420.5843
8363,Portuguese Exclusive Economic Zone (Madeira),200NM,Madeira,PRT,NA,NA,NA,NA,Portugal,PRT,NA,NA,NA,NA,452810.174
8468,Qatari Exclusive Economic Zone,200NM,Qatar,QAT,NA,NA,NA,NA,Qatar,QAT,NA,NA,NA,NA,30648.84312
5689,Romanian Exclusive economic Zone,200NM,Romania,ROU,NA,NA,NA,NA,Romania,ROU,NA,NA,NA,NA,29604.7834
5690,Russian Exclusive economic Zone,200NM,Russia,RUS,NA,NA,NA,NA,Russia,RUS,NA,NA,NA,NA,7734475.082
8356,Saudi Arabian Exclusive Economic Zone,200NM,Saudi Arabia,SAU,NA,NA,NA,NA,Saudi Arabia,SAU,NA,NA,NA,NA,224137.8554
8355,Sudanese Exclusive Economic Zone,200NM,Sudan,SDN,NA,NA,NA,NA,Sudan,SDN,NA,NA,NA,NA,62825.94123
8371,Senegalese Exclusive Economic Zone,200NM,Senegal,SEN,NA,NA,NA,NA,Senegal,SEN,NA,NA,NA,NA,158604.1155
8485,Singaporean Exclusive Economic Zone,200NM,Singapore,SGP,NA,NA,NA,NA,Singapore,SGP,NA,NA,NA,NA,721.555203
8314,Solomon Islands Exclusive Economic Zone,200NM,Solomon Islands,SLB,NA,NA,NA,NA,Solomon Islands,SLB,NA,NA,NA,NA,1605255.915
8390,Sierra Leonian Exclusive Economic Zone,200NM,Sierra Leone,SLE,NA,NA,NA,NA,Sierra Leone,SLE,NA,NA,NA,NA,160578.2776
8428,El Salvador Exclusive Economic Zone,200NM,El Salvador,SLV,NA,NA,NA,NA,El Salvador,SLV,NA,NA,NA,NA,95098.98012
8350,Somali Exclusive Economic Zone,200NM,Federal Republic of Somalia,SOM,NA,NA,NA,NA,Federal Republic of Somalia,SOM,NA,NA,NA,NA,781835.6268
8397,Sao Tome and Principe Exclusive Economic Zone,200NM,Sao Tome and Principe,STP,NA,NA,NA,NA,Sao Tome and Principe,STP,NA,NA,NA,NA,130840.0247
8461,Surinamese Exclusive Economic Zone,200NM,Suriname,SUR,NA,NA,NA,NA,Suriname,SUR,NA,NA,NA,NA,133316.4184
5692,Slovenian Exclusive Economic Zone,200NM,Slovenia,SVN,NA,NA,NA,NA,Slovenia,SVN,NA,NA,NA,NA,149.4607044
5694,Swedish Exclusive Economic Zone,200NM,Sweden,SWE,NA,NA,NA,NA,Sweden,SWE,NA,NA,NA,NA,155951.8367
